,Membrane Potential (mV),pr2445_A23,pr2445_B24,pr2445_C17,pr2445_D20,pr2445_F24,pr2445_H2,pr2445_I11,pr2445_K18,pr2445_M20,pr2445_N15,pr2445_O2,pr2453_B6,pr2453_M13
15,ACT_-25.0,0.5902892000006242,0.47650866987372253,0.7851007231270335,0.5810555305202,0.34173175103126946,0.40977980589468066,0.5084961815649905,0.6885932711765248,0.17378010108801317,0.45782851051917195,0.5877861165727394,0.3305056663393551,0.732567026727986
16,ACT_-20.0,0.6572234440496807,0.5461626193692992,0.8404460550646579,0.6990452207898785,0.45869618628229447,0.4799012057701865,0.584702116162725,0.8013875323719011,0.3165972785810196,0.49737127669786496,0.7114649332146278,0.4301349970782502,0.7730128629770829
17,ACT_-15.0,0.8182448094473036,0.6196093797614602,0.8796109114418376,0.691134415264237,0.5956941236406622,0.5501742461836363,0.672717673909267,0.8285586203484759,0.45167792499866044,0.6121702411708985,0.7978960484618152,0.5392648809001419,0.8704003551278698
18,ACT_-10.0,0.8255717633426111,0.6668853089995955,0.9332218568256788,0.7365759037966452,0.6668692636246066,0.623961318437082,0.7052380740733922,0.8743655436394566,0.5931084490571296,0.7210063115368385,0.8325346881554662,0.6053252499755142,0.8468851231164812
19,ACT_-5.0,0.8141161619830867,0.7366884267781783,0.9619110998542478,0.7761336726209961,0.715972771677577,0.7221824463320929,0.6999688069797593,0.9025872743666515,0.7047185122784212,0.7492320700994992,0.8703571491666839,0.6887872664303514,0.8766838447333375
20,ACT_0.0,0.9350744297301322,0.7847201729402674,0.9638930966834232,0.8516924640316659,0.7904311831596302,0.7721529064963387,0.8095943444696814,0.9333573016831863,0.8058383806750792,0.8126387851508089,0.9337278594526279,0.7809858818838058,0.9833798762372483
21,ACT_5.0,0.9711008819673034,0.8337744328657267,1.0,0.8445491664952162,0.8079038335499817,0.8571724708310333,0.7938316373787297,0.854272723615178,0.8115529978416671,0.8823370830034543,0.9065796130221764,0.8144683624149712,0.950060984209986
22,ACT_10.0,0.981196149357027,0.89244095309038,0.9931435750273601,0.8851407300271715,0.8615810240878785,0.9034376189798067,0.9457485933394348,0.9351137572554338,0.8248119431233205,0.8806966211972415,0.965742175216907,0.8431466715179203,0.9201872787859618
23,ACT_15.0,0.9499088165673613,0.9506805538207266,0.9682286252996467,0.9443645416951736,0.9158931947195698,0.9271456368883679,0.9326565892824163,0.9056088162822115,0.8969362938086017,0.8944314715426149,0.975042894792291,0.8706886183720246,0.947945737766237
24,ACT_20.0,0.9947529617623095,0.931282653285939,0.9980561966043889,1.0,0.8514903248430684,0.9724868755118534,0.9092856375601427,0.9282634272077508,0.977448443787203,0.8983920261069736,1.0,0.9703187716071303,1.0
25,ACT_25.0,1.0,0.9187371378360524,0.9188076022723961,0.9104236205693013,0.9229205900350099,0.9072081736113583,0.9261486308198662,0.9641225900399826,0.9751843305882433,0.886444031892835,0.8987506097741556,0.9811052242759836,0.9035709632340005
26,ACT_30.0,0.9941366057957102,1.0,0.9547015651877874,0.9238763277140485,1.0,1.0,1.0,1.0,1.0,1.0,0.9911776772880247,1.0,0.8521932626400965
